58.218.199.221 - - [16/Mar/2018:02:17:17 +0000] "GET /RELEASE-NOTES.txt HTTP/1.1" 200 7138
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:13 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:16 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:16 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:17 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:17 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.5 - - [16/Mar/2018:03:23:24 +0000] "GET /manager/html HTTP/1.1" 401 2473
196.52.43.92 - - [16/Mar/2018:06:15:43 +0000] "GET / HTTP/1.0" 200 11230
122.228.80.254 - - [16/Mar/2018:08:52:29 +0000] "GET / HTTP/1.1" 200 11250
122.228.80.254 - - [16/Mar/2018:08:52:30 +0000] "GET /index.action HTTP/1.1" 404 1086
58.218.199.221 - - [16/Mar/2018:09:17:23 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:24 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:24 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:24 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:25 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:25 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:26 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:26 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:27 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:27 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:28 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:28 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:29 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:30 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:30 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:31 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:32 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:34 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:34 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:35 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:35 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:36 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:36 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:37 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:38 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:38 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:39 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:39 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:40 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:40 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:41 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:41 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:42 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:42 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:43 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:43 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:44 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:44 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:45 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:45 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:46 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:46 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:47 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:47 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:48 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:48 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:48 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:50 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:50 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:51 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:51 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:52 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:52 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:53 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:53 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:54 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:54 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:55 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:55 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:56 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:56 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:57 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:57 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:58 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:58 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:59 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:17:59 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:18:00 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:18:00 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:18:02 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:18:02 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:09:18:03 +0000] "GET /manager/html HTTP/1.1" 401 2473
58.218.199.221 - - [16/Mar/2018:10:23:43 +0000] "PUT /thefox.jsp/ HTTP/1.1" 403 983
