196.52.43.108 - - [08/Apr/2018:01:46:17 +0000] "GET / HTTP/1.0" 200 11230
58.220.46.35 - - [08/Apr/2018:06:58:49 +0000] "GET / HTTP/1.1" 200 11250
58.220.46.35 - - [08/Apr/2018:06:58:50 +0000] "GET /index.action HTTP/1.1" 404 1086
139.162.87.250 - - [08/Apr/2018:21:25:12 +0000] "GET / HTTP/1.1" 200 11250
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET / HTTP/1.1" 200 11250
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /bg-button.png HTTP/1.1" 200 713
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
67.175.4.167 - - [08/Apr/2018:23:30:45 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
