131.193.160.4 - - [01/Mar/2018:00:36:01 +0000] "GET / HTTP/1.1" 200 11250
131.193.160.4 - - [01/Mar/2018:00:36:09 +0000] "GET /webapp HTTP/1.1" 302 -
131.193.160.4 - - [01/Mar/2018:00:36:09 +0000] "GET /webapp/ HTTP/1.1" 200 13
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "GET / HTTP/1.0" 200 11230
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "OPTIONS / HTTP/1.0" 405 1105
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "OPTIONS / null" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 1113
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "OPTIONS sip:nm null" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:46:41 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:47:39 +0000] "-" 400 -
45.79.187.249 - - [01/Mar/2018:11:47:39 +0000] "GET / HTTP/1.0" 200 11230
45.79.187.249 - - [01/Mar/2018:11:47:44 +0000] "-" 400 -
115.231.219.10 - - [01/Mar/2018:17:26:14 +0000] "GET /manager/html HTTP/1.1" 401 2473
115.231.219.10 - - [01/Mar/2018:17:26:15 +0000] "GET /manager/html HTTP/1.1" 401 2473
